,EpisodeCount,InstanceUUID,StepCount,Time,Content[0],Content[1],Content[2],Content[3],Content[4],Content[5],Content[6],Content[7],Content[8],Content[9],Content[10],Content[11],Content[12],Content[13],Content[14],Content[15],Content[16],Content[17],Content[18],Content[19],Result[0],Method,Target_WinRate,Error_WinRate
31541,17,99de7991-349b-4739-820f-0e4426dec5dc,40,2023-05-16 15:33:14.847,0,7,1,1,10,0,1,17.71428,0.5353899,1.255467,1,1,1,0,0,0.6807907,0,0,1,0,0.3033333,Heuristic,0.3,0.0033332999999999
30993,40,22afd51c-adab-4e71-aad6-dc15fbb484a6,40,2023-05-16 21:54:05.963,0,4,1,1,10,0,1,16.50893,0.5696554,1.053071,1,1,1,0,0,0.6464688,0,0,1,0,0.2966667,Heuristic,0.3,0.0033332999999999
31819,47,99de7991-349b-4739-820f-0e4426dec5dc,40,2023-05-16 23:35:47.374,0,1,1,1,10,0,1,13.00155,0.6,0.6480861,1,1,1,0,0,0.5,0,0,1,0,0.3266667,Heuristic,0.3,0.0266666999999999
30582,36,4cf5f922-1b0f-41f9-b85f-ff97f18066c1,40,2023-05-16 20:36:46.903,0,5,1,1,10,0,1,20.0,0.5584124,1.077884,1,1,1,0,0,0.6287013,0,0,1,0,0.25,Heuristic,0.3,0.0499999999999999
31825,32,99de7991-349b-4739-820f-0e4426dec5dc,40,2023-05-16 19:31:41.288,0,8,1,1,10,0,1,4.910304,0.5207542,0.8187328,1,1,1,0,0,0.8671463,0,0,1,0,0.2259136,Heuristic,0.3,0.0740864
30167,16,f0af5c27-7d6e-4f63-bc20-f8223b2a1248,40,2023-05-16 14:36:23.227,0,4,1,1,10,0,1,14.1942,0.5491891,1.149922,1,1,1,0,0,0.7256953,0,0,1,0,0.1233333,Heuristic,0.3,0.1766666999999999
30340,28,3f09d970-872a-4fde-9535-8e0046710c61,40,2023-05-16 18:40:38.428,0,8,1,1,10,0,1,9.122061,0.5166667,1.240036,1,1,1,0,0,0.9583333,0,0,1,0,0.4333333,Heuristic,0.3,0.1333333
29781,20,fbecd319-dda7-4d92-b6ec-b084eb00966a,40,2023-05-16 15:56:05.765,0,3,1,1,10,0,1,7.561133,0.5484524,1.250872,1,1,1,0,0,0.9567081,0,0,1,0,0.04666667,Heuristic,0.3,0.2533333299999999
31282,29,bc97ce01-067a-4ad2-b836-d1aa56d88f35,40,2023-05-16 18:51:05.156,0,9,1,1,10,0,1,11.65954,0.5415575,0.6284785,1,1,1,0,0,0.5577195,0,0,1,0,0.33,Heuristic,0.3,0.03
30505,5,7060f196-5efb-4187-bf4c-41574463c822,40,2023-05-16 12:21:14.037,0,9,1,1,10,0,1,9.38898,0.583751,0.5833333,1,1,1,0,0,0.6138286,0,0,1,0,0.41,Heuristic,0.3,0.1099999999999999
31772,30,b18308cc-4b8f-4852-8fb0-e8036c5e547f,40,2023-05-16 18:44:10.269,0,0,1,1,10,0,1,11.14361,0.5562628,0.9513543,1,1,1,0,0,0.8346735,0,0,1,0,0.3466667,Heuristic,0.3,0.0466667
30107,25,fb8ca3d3-cf0e-4762-8d12-b7444e6f0322,40,2023-05-16 17:45:16.644,0,8,1,1,10,0,1,8.317245,0.5476679,0.7709693,1,1,1,0,0,0.8240486,0,0,1,0,0.2733333,Heuristic,0.3,0.0266666999999999
